허가일자,상호,설비용량(KW),설치행정시,설치지역,원동력종류,사업개시일,구분,데이터기준일자
2019.3.28,무릉1리다목적회관 태양광발전소,31.08,서귀포시,대정읍,태양광,2019.6.14,육상,2020.1.20
2014.12.9,무릉중앙태양광발전소,500,서귀포시,대정읍,태양광,2015.8.20,없음,2020.1.20
2018.9.21,무릉태양광,393.68,서귀포시,대정읍,태양광,2019.10.29,육상,2020.1.20
2014.3.18,문보태양광발전소,99,제주시,한경면,태양광,2019.4.15,없음,2020.1.20
2019.1.7,문수 태양광발전소,99.36,제주시,한림읍,태양광,2019.6.28,육상,2020.1.20
2018.12.11,문수태양광발전소,98.8,서귀포시,대정읍,태양광,2019.6.17,육상,2020.1.20
2018.6.18,문수태양광발전소,99.62,제주시,애월읍,태양광,2019.1.29,육상,2020.1.20
2019.3.12,문영2 태양광발전소,84.24,서귀포시,남원읍,태양광,2019.9.24,육상,2020.1.20
2014.3.18,문영태양광발전소,60,서귀포시,남원읍,태양광,2014.8.1,없음,2020.1.20
2019.6.10,문지훈 태양광발전소,459.9,서귀포시,대정읍,태양광,2019.10.29,육상,2020.1.20
2017.9.1,뮤즈태양광발전소,498.48,제주시,조천읍,태양광,2018.4.6,육상,2020.1.20
2017.9.29,미래제이에스티솔라1호,992.8,제주시,애월읍,태양광,2019.1.29,육상,2020.1.20
2017.9.29,미래제주솔라1호,992.8,제주시,애월읍,태양광,2019.1.29,육상,2020.1.20
2017.10.20,미래태양광발전소,298.08,서귀포시,대정읍,태양광,2019.5.2,육상,2020.1.20
2018.12.14,미인 태양광발전소,98.8,서귀포시,대정읍,태양광,2019.3.19,육상,2020.1.20
2017.9.1,미주1호태양광반전소,99.28,제주시,한림읍,태양광,2018.12.17,육상,2020.1.20
2013.4.29,미희태양광발전소,46,서귀포시,대정읍,태양광,2014.10.1,없음,2020.1.20
2018.3.7,민경태양광발전소,99.4,서귀포시,서홍동,태양광,2018.11.27,육상,2020.1.20
2013.8.13,민규 태양광발전소,98,제주시,한림읍,태양광,2014.12.4,없음,2020.1.20
2018.7.9,민서태양광발전소,99.16,제주시,한경면,태양광,2019.12.25,육상,2020.1.20
2018.7.2,민솔라5호태양광발전소,99.06,제주시,조천읍,태양광,2019.4.26,육상,2020.1.20
2018.7.2,민솔라6호태양광발전소,99.36,제주시,조천읍,태양광,2019.4.26,육상,2020.1.20
2013.8.21,민솔라에너지,95.68,제주시,조천읍,태양광,2014.6.4,없음,2020.1.20
2012.3.30,민솔라에너지,99.84,제주시,조천읍,태양광,2013.8.1,없음,2020.1.20
2007.1.5,민솔라에너지,90.72,제주시,조천읍,태양광,2007.4.4,없음,2020.1.20
2007.12.28,민솔라에너지(금빛태양광발전소 양수),90.72,제주시,조천읍,태양광,2010.5.31,없음,2020.1.20
2018.12.24,바다 태양광발전소,787.36,제주시,구좌읍,태양광,2019.8.14,육상,2020.1.20
2017.11.6,바름태양광발전소,99,제주시,한림읍,태양광,2019.8.12,육상,2020.1.20
2013.3.7,반석 태양광발전소,96.8,제주시,한림읍,태양광,2014.7.29,없음,2020.1.20
2017.11.6,밝은누리에너지상대리태양광발전소,414.72,제주시,한림읍,태양광,2019.4.19,육상,2020.1.20
2018.10.11,배명 태양광발전소,97.92,제주시,한경면,태양광,2019.5.14,육상,2020.1.20
2014.4.4,백일에너지,97.2,서귀포시,대정읍,태양광,2014.9.17,없음,2020.1.20
2014.4.4,백일태양광,97.2,서귀포시,대정읍,태양광,2014.10.2,없음,2020.1.20
2018.1.30,백화원태양광발전소,489.6,제주시,외도일동,태양광,2019.3.4,육상,2020.1.20
2007.12.14,번내태양광발전주식회사,90.72,서귀포시,안덕면,태양광,2008.5.13,없음,2020.1.20
2007.12.14,번내태양광발전주식회사,90.72,서귀포시,안덕면,태양광,2008.5.13,없음,2020.1.20
2014.3.18,범호태양광발전소,99,제주시,한경면,태양광,2015.1.21,없음,2020.1.20
2012.11.8,법영1호 태양광발전소,99.06,제주시,한경면,태양광,2019.12.24,없음,2020.1.20
2013.4.5,법영2호 태양광발전소,99,제주시,한경면,태양광,2014.2.5,없음,2020.1.20
2013.5.2,법영3호태양광발전소,99,제주시,한경면,태양광,2014.2.5,없음,2020.1.20
2012.12.3,베누스태양광발전소,30,제주시,애월읍,태양광,2013.4.13,없음,2020.1.20
2013.12.19,벨리 태양광발전소,320,서귀포시,대정읍,태양광,2014.7.22,없음,2020.1.20
2013.3.7,병옥 태양광발전소,96.8,제주시,한림읍,태양광,2014.8.27,없음,2020.1.20
2014.10.2,보능태양광발전소,99,제주시,구좌읍,태양광,2015.7.1,없음,2020.1.20
2014.12.4,보배태양광발전소,99,서귀포시,대정읍,태양광,2015.9.2,없음,2020.1.20
2013.10.2,보원 태양광발전소,98,제주시,한림읍,태양광,2015.1.21,없음,2020.1.20
2012.9.27,보타리 신태양광발전소,30,제주시,애월읍,태양광,2012.11.29,없음,2020.1.20
2007.5.3,보타리에너지주식회사,30,제주시,애월읍,태양광,2007.8.6,없음,2020.1.20
2018.7.26,보타리팜태양광발전소,197.6,제주시,한림읍,태양광,2019.6.12,육상,2020.1.20
2018.9.19,보현 태양광발전소,994.5,제주시,구좌읍,태양광,2019.8.13,육상,2020.1.20
2008.1.10,복미태양광발전주식회사,99.9,서귀포시,남원읍,태양광,2009.9.21,없음,2020.1.20
2013.8.13,복주1호 태양광발전소,98,제주시,한림읍,태양광,2014.5.9,없음,2020.1.20
2013.8.13,복주2호 태양광발전소,98,제주시,한림읍,태양광,2014.5.9,없음,2020.1.20
2016.11.24,봉개 태양광발전소,161,제주시,봉개동,태양광,2018.11.7,없음,2020.1.20
2017.7.27,봉개동주민대책위원회태양광발전소,1996.8,제주시,회천동,태양광,2018.10.24,육상,2020.1.20
2014.10.2,봉룡태양광발전소,99,제주시,구좌읍,태양광,2015.7.1,없음,2020.1.20
2008.2.26,봉성태양광발전소,28.8,제주시,애월읍,태양광,2008.9.11,없음,2020.1.20
2014.12.4,부용태양광발전소,97.5,제주시,한경면,태양광,2016.9.28,없음,2020.1.20
2019.2.7,북촌 태양광발전소,291.6,제주시,조천읍,태양광,2019.5.15,육상,2020.1.20
2018.7.5,북촌태양광발전소,483.12,제주시,조천읍,태양광,2019.10.18,육상,2020.1.20
2018.7.18,블루썬,99.36,제주시,조천읍,태양광,2019.3.4,육상,2020.1.20
2013.3.20,비봉태양광발전소,96.6,서귀포시,남원읍,태양광,2014.3.21,없음,2020.1.20
2014.6.30,빛나리1호태양광발전소,99,서귀포시,대정읍,태양광,2015.8.3,없음,2020.1.20
2013.3.7,사랑 태양광발전소,96.8,제주시,한림읍,태양광,2014.5.9,없음,2020.1.20
2014.11.14,산남주민지원협의체,200,서귀포시,상예동,태양광,2015.4.15,없음,2020.1.20
2017.12.15,산하영태양광발전소,99.28,제주시,한경면,태양광,2019.2.27,육상,2020.1.20
2017.4.12,산하태양광발전소,99,제주시,한림읍,태양광,2019.1.31,육상,2020.1.20
2017.12.15,산하환태양광발전소,99.28,제주시,한경면,태양광,2019.4.10,육상,2020.1.20
2018.4.19,삼광 태양광발전소,489.6,제주시,외도일동,태양광,2019.2.12,육상,2020.1.20
2010.4.20,삼광산업개발,199.64,서귀포시,성산읍,태양광,2010.12.3,없음,2020.1.20
2009.7.23,삼광태양광발전소,194.4,서귀포시,성산읍,태양광,2011.1.3,없음,2020.1.20
2018.2.13,삼다도농장1호태양광발전소,296.96,제주시,구좌읍,태양광,2018.12.10,육상,2020.1.20
2018.2.13,삼다도농장2호태양광발전소,696.32,제주시,구좌읍,태양광,2018.9.20,육상,2020.1.20
2019.6.11,삼달 태양광발전소,999,서귀포시,성산읍,태양광,2019.12.1,육상,2020.1.20
2017.12.27,삼달1호 태양광발전소,195.84,서귀포시,성산읍,태양광,2019.6.18,육상,2020.1.20
2008.2.28,삼달풍력발전소,33000,서귀포시,성산읍,풍력,2009.10.21,없음,2020.1.20
2018.8.2,삼원 태양광발전소,492.75,서귀포시,성산읍,태양광,2019.3.4,육상,2020.1.20
2018.9.19,삼인 태양광발전소,473.04,제주시,봉개동,태양광,2019.10.11,육상,2020.1.20
2014.12.14,상명1호 태양광발전소,99,제주시,한림읍,태양광,2016.3.24,없음,2020.1.20
2014.12.14,상명2호태양광발전소,99,제주시,한림읍,태양광,2016.12.30,없음,2020.1.20
2014.12.14,상명3호태양광발전소,99,제주시,한림읍,태양광,2017.9.13,없음,2020.1.20
2017.7.11,상명새마을회태양광발전소,99.28,제주시,한림읍,태양광,2018.12.3,육상,2020.1.20
2014.5.2,상명풍력발전소,21000,제주시,한림읍,풍력,2016.8.22,없음,2020.1.20
2014.12.6,상익1호 태양광발전소,75,서귀포시,표선면,태양광,2015.4.1,없음,2020.1.20
2018.3.26,서광 태양광발전소,295.65,서귀포시,대정읍,태양광,2019.5.21,육상,2020.1.20
2018.11.23,서광 태양광발전소,199.43,서귀포시,안덕면,태양광,2019.4.19,육상,2020.1.20
2018.5.11,서광 태양광발전소,99.36,서귀포시,안덕면,태양광,2019.3.4,육상,2020.1.20
2013.11.18,서광그린파워(주)(서광그린파워태양광발전소),350,서귀포시,대정읍,태양광,2014.5.16,없음,2020.1.20
2014.1.2,서광그린파워(주)(서광동일 태양광발전소),549.88,서귀포시,대정읍,태양광,2014.5.29,없음,2020.1.20
2013.12.31,서광그린파워(주)(서광무릉 태양광발전소),519.79,서귀포시,대정읍,태양광,2014.5.29,없음,2020.1.20
2014.1.2,서광그린파워(주)(서광신도 태양광발전소),299.72,서귀포시,대정읍,태양광,2014.5.16,없음,2020.1.20
2019.2.11,서락 태양광발전소,89.25,서귀포시,대정읍,태양광,2019.8.19,육상,2020.1.20
2013.10.2,서연태양광발전소,98,제주시,한림읍,태양광,2014.12.31,없음,2020.1.20
2014.7.28,서영1호태양광발전소,99.3,제주시,해안동,태양광,2017.9.14,없음,2020.1.20
2014.7.28,서영2호태양광발전소,99.3,제주시,해안동,태양광,2017.9.14,없음,2020.1.20
2018.3.26,서원 태양광발전소,293.76,서귀포시,하원동,태양광,2019.3.4,육상,2020.1.20
2014.7.28,서진9호태양광발전소,99.3,제주시,해안동,태양광,2019.3.21,없음,2020.1.20
